Country,Region,Year,Happiness_Score,Suicide_Rate
Switzerland,Europe,2015,7.5870000000000015,13.84450089
Iceland,Europe,2015,7.561,11.10399025
Denmark,Europe,2015,7.527,11.46783128
Norway,Europe,2015,7.522,10.96579388
Canada,Americas,2015,7.4270000000000005,13.67167611
Finland,Europe,2015,7.4060000000000015,14.96188594
Netherlands,Europe,2015,7.377999999999999,12.01680123
Sweden,Europe,2015,7.364,14.36979672
New Zealand,Oceania,2015,7.2860000000000005,11.64304645
Australia,Oceania,2015,7.284,12.93188858
Israel,Asia,2015,7.278,5.930019783
Costa Rica,Americas,2015,7.226,7.790278517999999
Austria,Europe,2015,7.2,16.99403176
Mexico,Americas,2015,7.187,5.949462208
United States,Americas,2015,7.119,14.41134695
Brazil,Americas,2015,6.983,6.397279566
Luxembourg,Europe,2015,6.9460000000000015,11.79354671
Ireland,Europe,2015,6.94,9.639161798
Belgium,Europe,2015,6.937,20.07795223
United Arab Emirates,Asia,2015,6.901,7.121838996
United Kingdom,Europe,2015,6.867000000000001,8.424843297
Oman,Asia,2015,6.853,2.730107933
Venezuela,Americas,2015,6.81,8.15742345
Singapore,Asia,2015,6.797999999999999,8.318204538
Panama,Americas,2015,6.7860000000000005,4.780966068
Germany,Europe,2015,6.75,14.05869564
Chile,Americas,2015,6.67,11.26541712
Qatar,Asia,2015,6.6110000000000015,5.115859924
France,Europe,2015,6.575,17.39757241
Argentina,Americas,2015,6.574,10.98182061
Czech Republic,Europe,2015,6.505,14.84018526
Uruguay,Americas,2015,6.485,20.23957097
Colombia,Americas,2015,6.477,5.86852218
Thailand,Asia,2015,6.455,9.808346043
Saudi Arabia,Asia,2015,6.4110000000000005,4.846534807
Spain,Europe,2015,6.329,8.253493753999999
Malta,Europe,2015,6.3020000000000005,5.524399004
Kuwait,Asia,2015,6.295,2.9794351189999997
Suriname,Americas,2015,6.269,25.28971493
El Salvador,Americas,2015,6.13,8.893680193
Guatemala,Americas,2015,6.1229999999999976,5.099014205
Uzbekistan,Asia,2015,6.002999999999999,11.81007007
Slovakia,Europe,2015,5.995,14.08261858
Japan,Asia,2015,5.987,20.45587268
Ecuador,Americas,2015,5.975,9.452620319
Bahrain,Asia,2015,5.96,5.978835475
Italy,Europe,2015,5.9479999999999995,7.255187922
Bolivia,Americas,2015,5.89,6.342802473
Moldova,Europe,2015,5.888999999999999,18.22486694
Paraguay,Americas,2015,5.877999999999999,5.939757922
Kazakhstan,Asia,2015,5.855,26.29179815
Slovenia,Europe,2015,5.848,20.92866052
Lithuania,Europe,2015,5.8329999999999975,36.98030415
Nicaragua,Americas,2015,5.827999999999999,5.512751092999999
Peru,Americas,2015,5.824,2.922328028
Belarus,Europe,2015,5.813,24.5156408
Poland,Europe,2015,5.791,17.98020925
Malaysia,Asia,2015,5.77,5.048886324
Croatia,Europe,2015,5.7589999999999995,17.45179689
Libya,Africa,2015,5.754,4.971649575
Russia,Europe,2015,5.716,30.57438527
Jamaica,Americas,2015,5.709,2.887698762
Cyprus,Europe,2015,5.689,5.05945292
Algeria,Africa,2015,5.605,3.7689726130000003
Kosovo,Europe,2015,5.5889999999999995,
Turkmenistan,Asia,2015,5.547999999999999,9.115561619
Mauritius,Africa,2015,5.477,9.26045445
Estonia,Europe,2015,5.428999999999999,16.16119604
Indonesia,Asia,2015,5.399,2.9388592210000004
Vietnam,Asia,2015,5.36,8.270146421
Turkey,Asia,2015,5.332000000000002,3.0538589210000002
Kyrgyzstan,Asia,2015,5.2860000000000005,9.993910944
Nigeria,Africa,2015,5.268,3.8920321860000002
Bhutan,Asia,2015,5.252999999999999,5.296752975
Azerbaijan,Asia,2015,5.2120000000000015,3.805900484
Pakistan,Asia,2015,5.194,7.8375332470000005
Jordan,Asia,2015,5.192,2.0329803230000003
Montenegro,Europe,2015,5.192,18.68352781
China,Asia,2015,5.14,8.637250494
Zambia,Africa,2015,5.129,7.755154178
Romania,Europe,2015,5.124,11.85061471
Serbia,Europe,2015,5.122999999999998,18.32412327
Portugal,Europe,2015,5.102,13.35354312
Latvia,Europe,2015,5.098,21.80118937
Philippines,Asia,2015,5.073,3.935606781
Morocco,Africa,2015,5.013,7.251977407999999
Mozambique,Africa,2015,4.971,8.611933137000001
Albania,Europe,2015,4.959,5.746417291
Bosnia and Herzegovina,Europe,2015,4.949,11.221485099999999
Lesotho,Africa,2015,4.898,37.11514896
Dominican Republic,Americas,2015,4.885,6.926129016
Laos,Asia,2015,4.876,6.392810675
Mongolia,Asia,2015,4.874,19.24879048
Swaziland,Africa,2015,4.867,20.55179935
Greece,Europe,2015,4.857,4.9254075760000005
Lebanon,Asia,2015,4.8389999999999995,3.5354147119999997
Hungary,Europe,2015,4.8,21.61213033
Honduras,Americas,2015,4.788,2.42308627
Tajikistan,Asia,2015,4.7860000000000005,4.783707625
Tunisia,Africa,2015,4.739,3.59196119
Bangladesh,Asia,2015,4.694,4.480838249
Iran,Asia,2015,4.686,5.772628334
Ukraine,Europe,2015,4.681,33.829427
Iraq,Asia,2015,4.677,5.167173129
South Africa,Africa,2015,4.6419999999999995,13.95515066
Ghana,Africa,2015,4.633,6.691782588
Zimbabwe,Africa,2015,4.61,15.87784596
Liberia,Africa,2015,4.5710000000000015,5.427572164
India,Africa,2015,4.565,13.60443125
Sudan,Africa,2015,4.55,5.0968390569999995
Haiti,Americas,2015,4.518,8.331099716
Nepal,Asia,2015,4.513999999999999,11.50844837
Ethiopia,Africa,2015,4.512,5.214060254
Sierra Leone,Africa,2015,4.507,5.762127317000001
Mauritania,Africa,2015,4.436,3.9298257530000003
Kenya,Africa,2015,4.419,6.215603797000001
Djibouti,Africa,2015,4.369,5.891866547999999
Armenia,Asia,2015,4.35,9.87588579
Botswana,Africa,2015,4.332,17.72780228
Myanmar,Asia,2015,4.3069999999999995,3.969944807
Georgia,Asia,2015,4.297,13.43424537
Georgia,Asia,2015,4.297,8.747403133999999
Malawi,Africa,2015,4.292,6.675764892
